Texto da pergunta,Tipo de pergunta,Opção 1,Opção 2,Opção 3,Opção 4,Opção 5,Resposta correta,Tempo em segundos,Link da imagem,Explicação da resposta
"Qual destes não é uma tag HTML válida?",Múltipla escolha,"<div></div>","<main></main>","<bold></bold>","<section></section>",,3,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"<bold> não existe no HTML. As demais são tags válidas."
"Estrutura mínima correta do documento?",Múltipla escolha,"<!DOCTYPE html>, <html>...</html>, <head>...</head>, <body>...</body>","<html>...</html>, <header>...</header>, <footer>...</footer>","<html>...</html>, <nav>...</nav>, <section>...</section>","<!DOCTYPE html>, <body>...</body>, <head>...</head>",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"A estrutura mínima inclui DOCTYPE e as seções <html>, <head> e <body> nessa ordem."
"Texto em itálico e vermelho?",Múltipla escolha,"<em style=""color:red;"">txt</em>","<i color=""red"">txt</i>","<p style=""font-style:italic;color:blue;"">txt</p>","<b style=""color:red;"">txt</b>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_logo_black.svg,"<em> aplica ênfase semântica; o estilo inline define a cor vermelha. Os demais não atendem ao requisito."
"Tag de parágrafo?",Múltipla escolha,"<p></p>","<para></para>","<text></text>","<pg></pg>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_oval_logo.png,"O elemento de parágrafo no HTML é <p>."
"Contêiner genérico de bloco?",Múltipla escolha,"<div></div>","<container></container>","<group></group>","<box></box>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_logo_resized.svg,"<div> é um contêiner genérico de nível de bloco; as outras não são tags HTML."
"Campo que aceita apenas números?",Múltipla escolha,"<input type=""number"">","<input type=""text"">","<input type=""range"">","<input type=""tel"">",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"type=""number"" habilita entradas numéricas com validação. text, range e tel não restringem a números puros."
"Lista não ordenada?",Múltipla escolha,"<ul></ul>","<li></li>","<ol></ol>","<list></list>",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"<ul> cria listas com marcadores. <ol> é ordenada; <li> são itens; <list> não existe."
"Link clicável?",Múltipla escolha,"<a href=""https://exemplo.com"">Exemplo</a>","<link rel=""stylesheet"" href=""style.css"">","<href></href>","<url></url>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"<a> cria hiperlinks; <link> liga recursos, não é para navegação; <href> e <url> não são tags."
"Qual não é atributo HTML?",Múltipla escolha,"href","class","padding","id",,3,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"padding é propriedade CSS, não atributo HTML."
"Onde deve ficar <title>?",Múltipla escolha,"<head>...</head>","<body>...</body>","<html>...</html>","<header>...</header>",,1,30,https://commons.wikimedia.org/wiki/File:HTML5_Badge.svg,"<title> pertence ao <head>."
"CSS inline correto?",Múltipla escolha,"<p style=""color:red;""></p>","<p css=""color:red;""></p>","style=""p{color:red}""","<style color=""red""></style>",,1,30,https://commons.wikimedia.org/wiki/File:Official_CSS_Logo.svg,"O atributo style aceita declarações CSS aplicadas ao elemento."
"Uso correto de <style> no HTML?",Múltipla escolha,"<style>p{color:red;}</style>","<style src=""app.css""></style>","<style href=""app.css""/>","<css>p{}</css>",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_Black_icon.svg,"O conteúdo da tag <style> é CSS embutido. src/href não são válidos nela."
"Importar CSS no HTML?",Múltipla escolha,"<link rel=""stylesheet"" href=""styles.css"">","@import 'styles.css';","<script src=""styles.css""></script>","<style src=""styles.css""></style>",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"<link rel=stylesheet> anexa uma folha externa no HTML."
"Propriedade para mudar a fonte?",Múltipla escolha,"font-family","font-weight","font-style","font-variant",,1,30,https://commons.wikimedia.org/wiki/File:Official_CSS_Logo.svg,"font-family define a família tipográfica."
"Propriedade para mudar a cor do texto?",Múltipla escolha,"color","text-color","font-color","fill",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_Black_icon.svg,"A cor do texto é definida por color."
"Sublinhado vermelho no texto?",Múltipla escolha,"text-decoration: underline red;","underline-color: red;","text-underline: red;","border-top: 1px solid red;",,1,30,https://commons.wikimedia.org/wiki/File:Official_CSS_Logo.svg,"A sintaxe moderna permite definir cor junto a underline em text-decoration."
"Cor de fundo?",Múltipla escolha,"background-color","background-text","bg-color","color",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"A cor do fundo é background-color."
"Controlar a borda do elemento?",Múltipla escolha,"border","outline","border-radius","stroke",,1,30,https://commons.wikimedia.org/wiki/File:Official_CSS_Logo.svg,"border define espessura/estilo/cor da borda. outline é traço externo não afeta layout."
"Espaço externo entre elementos?",Múltipla escolha,"margin","padding","line-height","letter-spacing",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_Black_icon.svg,"margin é o espaçamento externo."
"Espaço interno do elemento?",Múltipla escolha,"padding","margin","gap","border",,1,30,https://commons.wikimedia.org/wiki/File:Official_CSS_Logo.svg,"padding é o espaçamento interno entre conteúdo e borda."
"Inserir JS direto no HTML?",Múltipla escolha,"<script>/* código */</script>","<js>/* código */</js>","<script href="""">","<code js></code>",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"O código embutido vai entre <script> e </script>."
"Importar app.js no HTML?",Múltipla escolha,"<script src=""app.js""></script>","import app from './app.js'","<link href=""app.js"">","<script link=""app.js""></script>",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"Para carregar um arquivo JS no HTML use o atributo src da tag <script>."
"Variável mutável de escopo de bloco?",Múltipla escolha,"let x = 1","const x = 1","var x = 1","make x",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"let é mutável e tem escopo de bloco. const é imutável; var é função/global."
"O que é uma variável?",Múltipla escolha,"Espaço nomeado que guarda um valor","Uma função","Um arquivo","Um estilo",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"Variável armazena valores referenciáveis por nome."
"Mostrar mensagem no console?",Múltipla escolha,"console.log('Oi')","alert('Oi')","print('Oi')","echo 'Oi'",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"console.log escreve na saída do console do navegador."
"Exibir um alerta com 2025?",Múltipla escolha,"alert(2025)","console.log(2025)","prompt(2025)","confirm('2025')",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"alert exibe uma caixa modal de alerta."
"Obter elemento por id user?",Múltipla escolha,"document.getElementById('user')","document.find('#user')","window.query('#user')","get('#user')",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"getElementById retorna o elemento com o id informado."
"O que é função?",Múltipla escolha,"Bloco reutilizável que executa tarefa e pode retornar valor","Um loop","Anotação de evento","Um JSON",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"Função encapsula instruções reutilizáveis e pode retornar resultados."
"Disparar selecionarTudo() no duplo clique?",Múltipla escolha,"<button ondblclick=""selecionarTudo()""></button>","<button onclick=""selecionarTudo();selecionarTudo()""></button>","<button ondoubleclick=""...""></button>","<button ondbclick=""...""></button>",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"O evento correto é ondblclick."
"Ler o valor de <input id=""idade"">?",Múltipla escolha,"document.getElementById('idade').value","document.getElementById('idade').text","value('#idade')","innerText('#idade')",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"Campos de formulário expõem o valor via propriedade value."
"O que é currículo?",Múltipla escolha,"Documento com dados profissionais","Uma rede social","Um certificado","Um contrato",,1,30,https://commons.wikimedia.org/wiki/File:Example_CV_Resume_(Director_Level).png,"Currículo resume experiências, formações e contatos."
"O que é portfólio?",Múltipla escolha,"Conjunto de projetos com evidências/links","Um currículo breve","Uma carta de apresentação","Um diploma",,1,30,https://commons.wikimedia.org/wiki/File:Portfolio.svg,"Portfólio demonstra trabalhos com provas como links e imagens."
"Evolução comum de carreira?",Múltipla escolha,"Júnior → Pleno → Sênior → Líder","Pleno → Júnior → Líder → Sênior","Sênior → Júnior → Pleno → Líder","Líder → Pleno → Júnior → Sênior",,1,30,https://commons.wikimedia.org/wiki/File:Interview.svg,"Sequência típica de senioridade em muitas empresas."
"O que um programador não faz?",Múltipla escolha,"Diagnosticar doenças","Codar","Testar","Revisar código",,1,30,https://commons.wikimedia.org/wiki/File:Job_interview.jpg,"Diagnóstico médico é atribuição de profissionais de saúde."
"Canal adequado para enviar currículo?",Múltipla escolha,"LinkedIn","DM no TikTok","Comentários no YouTube","Stories do Instagram",,1,30,https://commons.wikimedia.org/wiki/File:LinkedIn_icon.svg,"LinkedIn é a plataforma profissional apropriada."
"Ordem típica do processo seletivo?",Múltipla escolha,"Triagem → Entrevista → Teste técnico → Proposta","Proposta → Teste → Triagem → Entrevista","Teste → Proposta → Triagem → Entrevista","Somente entrevista",,1,30,https://commons.wikimedia.org/wiki/File:Job_interview_0001.jpg,"Fluxo comum envolve triagem, entrevistas, avaliação técnica e oferta."
"SCRUM é:",Múltipla escolha,"Framework ágil de gestão","Linguagem","Banco de dados","IDE",,1,30,https://commons.wikimedia.org/wiki/File:Scrum_process.svg,"Scrum é um framework ágil para desenvolvimento e gestão de produtos."
"Qual não é modelo de local de trabalho?",Múltipla escolha,"Presencial","Híbrido","Remoto","Terceirizado",,4,30,https://commons.wikimedia.org/wiki/File:Job_interview.jpg,"Terceirização é relação contratual, não um local (on-site/híbrido/remoto)."
"Qual cargo não pertence ao ágil?",Múltipla escolha,"Scrum Master","Product Owner","Developer","Síndico",,4,30,https://commons.wikimedia.org/wiki/File:Scrum_diagram_(no_labels).png,"Síndico não é papel do Scrum."
"Por que usar ágil?",Múltipla escolha,"Entregar valor rápido com feedback contínuo","Porque é moda","Para evitar testes","Para não planejar",,1,30,https://commons.wikimedia.org/wiki/File:Scrum_process.svg,"Agile prioriza valor incremental com ciclos curtos e feedback."
"Para que o GitHub é usado?",Múltipla escolha,"Versionamento e colaboração em nuvem","Apenas backup","Só para sites","Só para design",,1,30,https://commons.wikimedia.org/wiki/File:Octicons-mark-github.svg,"GitHub hospeda repositórios Git e facilita colaboração."
"Criar repositório local?",Múltipla escolha,"git init","git start","git new","git create",,1,30,https://commons.wikimedia.org/wiki/File:Git-logo.svg,"git init inicializa um repositório vazio."
"Ver status do repo?",Múltipla escolha,"git status","git info","git show","git check",,1,30,https://commons.wikimedia.org/wiki/File:Git-logo.svg,"git status mostra o estado da working tree e da staging."
"Adicionar arquivos à staging?",Múltipla escolha,"git add .","git put .","git stage all","git include *",,1,30,https://commons.wikimedia.org/wiki/File:Git_icon.svg,"git add adiciona alterações ao índice (staging)."
"Criar commit?",Múltipla escolha,"git commit -m ""msg""","git save ""msg""","git push -m ""msg""","git log -m ""msg""",,1,30,https://commons.wikimedia.org/wiki/File:Git-logo-black.svg,"git commit grava um snapshot do estado em histórico."
"Enviar para o GitHub?",Múltipla escolha,"git push origin main","git upload main","git send","git export",,1,30,https://commons.wikimedia.org/wiki/File:GitHub_logo_2013.svg,"git push origin main publica a branch no remoto origin."
"Baixar mudanças remotas?",Múltipla escolha,"git pull origin main","git get","git receive","git clone origin",,1,30,https://commons.wikimedia.org/wiki/File:Git-logo.svg,"git pull busca e faz merge/rebase das mudanças do remoto."
"GitHub Pages serve para:",Múltipla escolha,"Hospedar site estático","Rodar banco","Servir API privada","Compilar Java",,1,30,https://commons.wikimedia.org/wiki/File:GitHub_Invertocat_Logo.svg,"GitHub Pages hospeda sites estáticos a partir de repositórios."
"Evitar versionar:",Múltipla escolha,".env com segredos","README.md","LICENSE",".gitignore",,1,30,https://commons.wikimedia.org/wiki/File:Git-logo.svg,"Segredos nunca devem ir ao controle de versão."
"A frase “Empresas não olham seu GitHub” é:",Múltipla escolha,"Verdadeira","Falsa","Só startups","Nunca conta",,2,30,https://commons.wikimedia.org/wiki/File:Octicons-mark-github.svg,"Portfólios Git são revisados com frequência em processos seletivos."
"Editor indicado para programar?",Múltipla escolha,"VS Code","Excel","Paint","VLC",,1,30,https://commons.wikimedia.org/wiki/File:Visual_Studio_Code_1.35_icon.svg,"VS Code é um editor de código com extensões e depuração."
"Não é linguagem de programação:",Múltipla escolha,"HTML","Python","Go","JavaScript",,1,30,https://commons.wikimedia.org/wiki/File:CSS3_and_HTML5_logos_and_wordmarks.svg,"HTML é linguagem de marcação, não de programação."
"O que o VS Code não faz?",Múltipla escolha,"Hospedar site em produção","Editar código","Depurar com extensões","Integrar com Git",,1,30,https://commons.wikimedia.org/wiki/File:Visual_Studio_Code_1.35_icon.svg,"VS Code é editor/IDE; hospedagem de produção não é sua função."
"Sequência eficaz para virar dev?",Múltipla escolha,"Lógica → HTML/CSS/JS → Git → Projeto → Portfólio","Projeto → Portfólio → Lógica → Git → JS","Só cursos","Só teoria",,1,30,https://commons.wikimedia.org/wiki/File:Visual_Studio_Code_1.35_icon.svg,"Aprender fundamentos, web, controle de versão e produzir projetos é a rota prática."
"O que é servidor?",Múltipla escolha,"Máquina que entrega serviços a clientes","Apenas um app","Apenas um cabo","Um PDF",,1,30,https://commons.wikimedia.org/wiki/File:Datacenter_Server_Racks_(22370909788).jpg,"Servidor é hardware/VM que atende requisições de clientes."
"O que é internet?",Múltipla escolha,"Rede mundial de redes","Um site","Um navegador","Um provedor",,1,30,https://commons.wikimedia.org/wiki/File:Globe_icon.svg,"Internet é a interconexão global de redes."
"Linguagem de programação é:",Múltipla escolha,"Notação para instruir o computador","Um sistema operacional","Um protocolo de rede","Uma planilha",,1,30,https://commons.wikimedia.org/wiki/File:Unofficial_JavaScript_logo_2.svg,"Linguagens permitem especificar instruções executáveis."
"Sequência para criar um projeto?",Múltipla escolha,"Planejar → Configurar ambiente → Codar → Testar → Publicar","Codar → Publicar → Testar → Planejar","Publicar primeiro","Só codar",,1,30,https://commons.wikimedia.org/wiki/File:Visual_Studio_Code_1.35_icon.svg,"Fluxo saudável começa com planejamento e termina com publicação."
"Partes de um site:",Múltipla escolha,"Front-end, Back-end, Banco de dados","Apenas front-end","Apenas back-end","Só banco",,1,30,https://commons.wikimedia.org/wiki/File:Content_Distribution_Network_diagram.svg,"Arquitetura típica envolve cliente, servidor e persistência."
"O que é um programa?",Múltipla escolha,"Conjunto de instruções executáveis","Um periférico","Um arquivo de texto vazio","Um cabo",,1,30,https://commons.wikimedia.org/wiki/File:Globe_icon.svg,"Programa é uma sequência de instruções que o computador executa."
